Date,Open,High,Low,Close,Volume
7/4/2023 15:30:00,75.8,76.2,74.5,74.8,24150257
7/5/2023 15:30:00,74.85,75.1,73.7,74.05,25459694
7/6/2023 15:30:00,74.45,75.25,74.3,74.75,24467816
7/7/2023 15:30:00,74.8,74.9,73,73.25,26599778
7/10/2023 15:30:00,73.45,75.55,73.4,74.8,33812208
7/11/2023 15:30:00,75.05,77,74.9,76.8,42946892
7/12/2023 15:30:00,77.5,78.8,77.15,77.5,64212629
7/13/2023 15:30:00,77.85,84.5,77.65,82.2,192605002
7/14/2023 15:30:00,84,85.25,81.65,82.55,91571303
7/17/2023 15:30:00,83.2,83.4,79.5,80.15,43377345
7/18/2023 15:30:00,80.65,80.65,76.5,78.7,71215775
7/19/2023 15:30:00,79,80.35,77.25,77.65,42130927
7/20/2023 15:30:00,78.05,79.1,77.3,77.6,40495235
7/21/2023 15:30:00,77.85,80.7,77.4,80.3,74991213
7/24/2023 15:30:00,80.8,82.45,80.55,81.3,64291285
7/25/2023 15:30:00,81.3,83.2,79.3,82.65,72459586
7/26/2023 15:30:00,83.1,84.6,82.5,83.35,59291226
7/27/2023 15:30:00,83.35,86.1,82.8,84.95,77249384
7/28/2023 15:30:00,85.6,87.25,83.85,86.8,74798625
7/31/2023 15:30:00,87,87.15,83.7,84.1,49093355
8/1/2023 15:30:00,84.6,85.7,84.2,84.75,34950470
8/2/2023 15:30:00,84.45,85.95,82.65,85.05,54844625
8/3/2023 15:30:00,81.6,88.4,81.6,86.55,123480816
8/4/2023 15:30:00,89,98.4,88.4,95.4,405751648
8/7/2023 15:30:00,97.4,102.85,96.35,97.6,249331637
8/8/2023 15:30:00,98.35,100.3,92.7,93.45,160236123
8/9/2023 15:30:00,93.9,94.85,91.6,94.1,109240947
8/10/2023 15:30:00,94.1,96.15,93.25,94.25,87598556
8/11/2023 15:30:00,94.6,95.2,93.05,93.45,38156809
8/14/2023 15:30:00,93.4,93.4,91.35,92.75,46668447
8/16/2023 15:30:00,92.45,95.6,91.5,91.9,76333138
8/17/2023 15:30:00,92.3,93.25,90.5,91.15,45657095
8/18/2023 15:30:00,91,91.4,89,89.35,50513070
8/21/2023 15:30:00,90.5,90.5,88.3,89.75,36755760
8/22/2023 15:30:00,90.3,94.3,90.1,91.9,104409241
8/23/2023 15:30:00,92.95,95,92.05,94.3,64768237
8/24/2023 15:30:00,95.75,95.75,93.2,93.8,47597101
8/25/2023 15:30:00,93.35,93.35,90.05,91,65076321
8/28/2023 15:30:00,96,96.1,91.75,92.35,141118441
8/29/2023 15:30:00,92.75,95,92.6,94.7,86708316
8/30/2023 15:30:00,99.5,100.5,97.2,99.8,250111714
8/31/2023 15:30:00,100.05,100.8,96.7,97.6,113063640
9/1/2023 15:30:00,98.3,98.35,96.85,97.2,47561928
9/4/2023 15:30:00,97.5,98.6,97.3,98.05,37447917
9/5/2023 15:30:00,98.15,99.3,97.05,98.2,51133944
9/6/2023 15:30:00,98.4,98.85,97.65,98.2,28329667
9/7/2023 15:30:00,98.65,101.6,98.2,100.05,111222776
9/8/2023 15:30:00,100.75,101.1,99,99.6,63482366
9/11/2023 15:30:00,100,102.55,99.2,101.35,83850675
9/12/2023 15:30:00,102.4,102.5,96.5,98.75,90911794
9/13/2023 15:30:00,98.75,100.75,97,97.9,71661116
9/14/2023 15:30:00,98.65,100.1,98.2,99.45,45226055
9/15/2023 15:30:00,100.5,104.45,100.35,102.95,148853172
9/18/2023 15:30:00,103.6,105,101.65,102.15,69476642
9/20/2023 15:30:00,101.3,104.9,99.3,100,104115507
9/21/2023 15:30:00,100,100.95,98.25,99.15,40591612
9/22/2023 15:30:00,99.5,101.4,98.7,99.9,39492725
9/25/2023 15:30:00,100.3,100.5,97.75,98.45,34410972
9/26/2023 15:30:00,98.6,100.4,97.9,99.9,36822528
9/27/2023 15:30:00,99.9,101.2,98.5,100.1,34894254
9/28/2023 15:30:00,100.35,100.6,99.3,99.95,25885383
9/29/2023 15:30:00,100.05,102.75,99.6,101.5,49524816
10/3/2023 15:30:00,101,105.9,100,105.3,82983688
10/4/2023 15:30:00,104.4,104.4,100.35,100.75,68727969
10/5/2023 15:30:00,102.6,107.7,102.35,105.4,140096809
10/6/2023 15:30:00,106.4,107.2,104,104.45,65041435
10/9/2023 15:30:00,103.8,105.25,101,103.9,53811658
10/10/2023 15:30:00,104.9,107.95,104.65,106.05,67712329
10/11/2023 15:30:00,106.8,109.8,106.55,109,93838782
